,用户ID,性别,年龄,归属地,客户类型,在网时长,换机频率,终端品牌,终端类型,最近使用操作系统偏好,入网渠道类型,渠道类型描述,上网流量使用,漫游流量使用,总收入,增值收入,流量收入,短信收入,彩信收入,语音收入,是否欠费,产品大类,产品分类
0,00891A97FB48EA2B4F552111D97B1870,女,20.0,石家庄,公众客户,15,频繁换机型,LG,4G,ANDROID 5.1.0,2.0,社会渠道,568.399661,0.0,76.25,45.9,35.7,1.2,1.2,4.35,否,本地套餐,4G本地套餐-26元套餐
1,00F84124D037DCC637FFE3C6EAAB492E,女,63.0,北京,公众客户,70,频繁换机型,苹果,3G,IOS 6.0,2.0,社会渠道,106.718701,6.202381,73.77,1.56,15.0,1.56,0.0,0.96,否,智慧沃家共享,智慧沃家共享套餐-全国流量包49.9元1GB
2,0129B973BF31D6B4086C7E38F7BFF43E,男,21.0,北京,公众客户,33,频繁换机型,三星,4G,ANDROID 5.1.1,2.0,社会渠道,3930.230795,2.016909,164.6,15.0,1.6,15.0,0.0,23.6,是,国内流量套餐,150元4GB国内流量套餐
5,01EBB91E44F31EF4D70A4B9A5E72D9D3,男,20.0,天津,公众客户,45,频繁换机型,苹果,4G,IOS 9.0,2.0,社会渠道,2026.990448,1938.247254,227.3,104.84,120.0,3.0,0.0,18.15,否,基本套餐,106元基本套餐（含国内语音300分钟，国内流量800MB）
6,02771333B92DF691B363A9DDEF7312D7,男,23.0,北京,公众客户,45,频繁换机型,摩托罗拉,4G,ANDROID 5.0.1,2.0,社会渠道,5732.901909,1082.158408,144.0,75.0,60.0,15.0,0.0,9.0,否,校园专属-沃派,4G校园套餐-沃派60元套餐
7,02D556F6AC9AE0C3920144C33E3D352D,男,47.0,天津,公众客户,47,频繁换机型,华为,4G,ANDROID 5.1.1,2.0,社会渠道,1446.123583,253.291379,105.53,1.3,20.0,1.3,0.0,17.88,否,智慧沃家共享,智慧沃家共享套餐-全国流量包49.9元1GB
8,02E00D5F45FE53117692C5207D02BD72,男,34.0,北京,公众客户,24,频繁换机型,苹果,4G,IOS 8.0,1.0,自有渠道,2128.007079,981.127475,75.81,0.26,5.0,0.26,0.0,8.64,是,智慧沃家共享,智慧沃家共享套餐-全国流量包79.9元2GB
11,041A728C48A8B1C70F17CDD4B521109D,女,45.0,承德,公众客户,65,频繁换机型,小米,4G,ANDROID 4.4.2,1.0,自有渠道,84.720318,0.0,36.9,25.7,25.5,0.2,0.2,1.2,否,4G本地语音套餐,4G本地语音套餐-10元套餐
12,042D41E355C32FFFBFD900AA0459F1D5,男,19.0,天津,公众客户,1,频繁换机型,三星,4G,ANDROID 4.3,2.0,社会渠道,246.727315,226.308895,84.55,61.6,55.5,1.6,1.6,22.95,否,基本套餐,136元基本套餐（含国内语音500分钟，国内流量1GB）
13,0486E0CC7E47EFB8C8E5D5198BC63CE8,男,28.0,北京,公众客户,33,频繁换机型,苹果,4G,IOS 9.0,2.0,社会渠道,905.421125,104.716266,285.35,194.23,225.9,2.0,1.7,84.32,否,省内流量套餐,10元150MB省内流量套餐
