用户ID,性别,年龄,归属地,客户类型,在网时长,换机频率,终端品牌,终端类型,最近使用操作系统偏好,入网渠道类型,渠道类型描述,上网流量使用,漫游流量使用,总收入,增值收入,流量收入,短信收入,彩信收入,语音收入,是否欠费,产品大类,产品分类
00891A97FB48EA2B4F552111D97B1870,女,20,石家庄,公众客户,15,频繁换机型,LG,4G,ANDROID 5.1.0,2,社会渠道,568.399661,0,76.25,45.9,35.7,1.2,1.2,4.35,否,本地套餐,4G本地套餐-26元套餐
00F84124D037DCC637FFE3C6EAAB492E,女,63,北京,公众客户,70,频繁换机型,苹果,3G,IOS 6.0,2,社会渠道,106.718701,6.202381,73.77,1.56,15,1.56,0,0.96,否,智慧沃家共享,智慧沃家共享套餐-全国流量包49.9元1GB
0129B973BF31D6B4086C7E38F7BFF43E,男,21,北京,公众客户,33,频繁换机型,三星,4G,ANDROID 5.1.1,2,社会渠道,3930.230795,2.016909,164.6,15,1.6,15,0,23.6,是,国内流量套餐,150元4GB国内流量套餐
015B82EFB6A685557AFECD1143E1EE17,无法区分,,北京,集团-中小企,1,频繁换机型,华为,4G,ANDROID 5.0.2,1,自有渠道,47.204888,47.204888,20.45,14.6,14.4,0.2,0.2,5.85,是,基本套餐,4G全国套餐-76元套餐（新）
01EA77A21523D50E28AFDEB29DECEEC4,男,32,北京,公众客户,58,频繁换机型,黑莓,3G,BLACKBERRY,99,其他渠道,0.540373,0.540373,70.64,30.92,20,6.68,0.6,5.72,否,国内流量套餐,10元100MB国内流量套餐
01EBB91E44F31EF4D70A4B9A5E72D9D3,男,20,天津,公众客户,45,频繁换机型,苹果,4G,IOS 9.0,2,社会渠道,2026.990448,1938.247254,227.3,104.84,120,3,0,18.15,否,基本套餐,106元基本套餐（含国内语音300分钟，国内流量800MB）
02771333B92DF691B363A9DDEF7312D7,男,23,北京,公众客户,45,频繁换机型,摩托罗拉,4G,ANDROID 5.0.1,2,社会渠道,5732.901909,1082.158408,144,75,60,15,0,9,否,校园专属-沃派,4G校园套餐-沃派60元套餐
02D556F6AC9AE0C3920144C33E3D352D,男,47,天津,公众客户,47,频繁换机型,华为,4G,ANDROID 5.1.1,2,社会渠道,1446.123583,253.291379,105.53,1.3,20,1.3,0,17.88,否,智慧沃家共享,智慧沃家共享套餐-全国流量包49.9元1GB
02E00D5F45FE53117692C5207D02BD72,男,34,北京,公众客户,24,频繁换机型,苹果,4G,IOS 8.0,1,自有渠道,2128.007079,981.127475,75.81,0.26,5,0.26,0,8.64,是,智慧沃家共享,智慧沃家共享套餐-全国流量包79.9元2GB
03C44E8DBE88ABE5EC165F769BDED270,女,18,北京,公众客户,1,频繁换机型,魅族,4G,,1,自有渠道,466.174899,0,48.2,28.2,27.6,0.6,0.6,3,否,省内流量套餐,30元750MB省内流量套餐
03FB7FC1B52DCB914776BB24333A3F0D,男,26,邯郸,公众客户,2,频繁换机型,,0,,2,社会渠道,78.555666,64.061835,55.35,19.8,19.5,2.7,0,9.55,否,4G本地语音套餐,4G本地语音套餐-26元套餐（冀）
041A728C48A8B1C70F17CDD4B521109D,女,45,承德,公众客户,65,频繁换机型,小米,4G,ANDROID 4.4.2,1,自有渠道,84.720318,0,36.9,25.7,25.5,0.2,0.2,1.2,否,4G本地语音套餐,4G本地语音套餐-10元套餐
042D41E355C32FFFBFD900AA0459F1D5,男,19,天津,公众客户,1,频繁换机型,三星,4G,ANDROID 4.3,2,社会渠道,246.727315,226.308895,84.55,61.6,55.5,1.6,1.6,22.95,否,基本套餐,136元基本套餐（含国内语音500分钟，国内流量1GB）
0486E0CC7E47EFB8C8E5D5198BC63CE8,男,28,北京,公众客户,33,频繁换机型,苹果,4G,IOS 9.0,2,社会渠道,905.421125,104.716266,285.35,194.23,225.9,2,1.7,84.32,否,省内流量套餐,10元150MB省内流量套餐
055E74FA15C36B43F08C81D8BA2FAD9E,男,38,邯郸,公众客户,1,频繁换机型,,0,,2,社会渠道,145.949821,0,56.35,46.6,43.8,2.5,2.5,9.75,否,4G全国语音套餐,4G主副卡业务-语音副卡基本套餐
056BC202E2A2D0C9231D73F99AC21C8B,女,19,北京,公众客户,36,频繁换机型,苹果,3G,IOS 6.0,2,社会渠道,293.905748,293.905748,220.4,42.8,28.8,14,14,158.6,否,国内流量套餐,10元100MB国内流量套餐
06BA8104F925D6BA15D5E0AED0094ADA,男,25,天津,公众客户,32,频繁换机型,苹果,4G,IOS 8.0,2,社会渠道,17958.95444,5314.025523,333.08,138.3,123.3,0.4,0,10.75,否,4G本地语音套餐,4G本地语音套餐-26元套餐
07B8F8288D7E02A910E4020EF6D22147,男,21,承德,公众客户,7,频繁换机型,三星,4G,ANDROID 4.0.4,2,社会渠道,171.776214,59.680739,58.45,17,15.9,2,2,15.45,否,校园专属-非小区B套餐,校园专属-沃派26元B套餐
07F66AA662424EE72CFE7151D45CC728,无法区分,,北京,集团-中小企,76,频繁换机型,苹果,4G,IOS 9.0,1,自有渠道,732.250241,4.209519,874.86,19.02,10,19.02,10.4,739.84,否,基本套餐,106元基本套餐（含国内语音300分钟，国内流量800MB）
08755C84D467C255E8671BB86C8A35AF,男,38,天津,公众客户,10,频繁换机型,苹果,4G,IOS,1,自有渠道,5002.883509,0,354.98,194,180,8.1,0.9,96.3,是,智慧沃家共享,智慧沃家共享套餐-全国流量包49.9元1GB
08926160AE32A8FA2D67F1FF322CCD44,男,49,北京,公众客户,39,频繁换机型,苹果,3G,IOS 6.0,1,自有渠道,694.106101,0,22.85,10.9,10.5,0.4,0.4,1.95,否,4G全国语音套餐,4G主副卡业务-语音副卡基本套餐
090B808DD1AB0B814215A7038A872041,女,32,北京,公众客户,1,频繁换机型,自由客,4G,ANDROID 5.1.1,1,自有渠道,233.562132,0,81.7,70.5,70.2,0.3,0.3,11.2,否,4G本地行业套餐,集客4G本地行业套餐-66元套餐（京）
0A1BD3ACD1820059970BB030105EFED0,男,23,北京,公众客户,10,频繁换机型,三星,3G,ANDROID 4.1.1,2,社会渠道,1111.043406,11.444156,82.55,13.6,3.6,10,0,37.95,否,校园专属-非小区A套餐,校园专属-沃派36元A套餐
01C480C6B4A6AD5B2F30E6830AFC83ED,男,16,张家口,公众客户,7,频繁换机型,欧奇,2G,ANDROID 4.4.2,2,社会渠道,134.272883,5.420523,29.4,2.4,1.8,0.6,0.6,11,否,校园专属-非小区B套餐,校园专属-沃派16元B套餐
030D1E19406675E34A0C501EB6E0E1B4,男,17,承德,公众客户,2,频繁换机型,,0,,2,社会渠道,737.262462,0,54.55,7.9,5.4,2.2,2.5,10.65,否,本地套餐,4G本地套餐-36元套餐
038623DF4D6B85BD9FF8C9D892865DE6,男,35,天津,公众客户,1,频繁换机型,苹果,3G,IOS 7.0,1,自有渠道,99.916104,7.494487,36,30.6,30,0.6,0.6,5.4,否,基本套餐,106元基本套餐（含国内语音300分钟，国内流量800MB）
0434D62A3264318C2C1EC1E026B00675,男,31,天津,公众客户,119,频繁换机型,欧珀,4G,ANDROID,2,社会渠道,2947.014878,594.876296,255.42,47,39,8,0,91.05,否,国内流量套餐,90元2GB国内流量套餐
0528E9087CFBF43554064C609BB07AB6,男,44,石家庄,公众客户,1,频繁换机型,三星,4G,ANDROID 4.4.4,1,自有渠道,2.218161,0,2.75,1,0.9,0.1,0.1,1.75,否,基本套餐,136元基本套餐（含国内语音500分钟，国内流量1GB）
05869D8F4ABC1EBF2AA686191328D058,男,50,北京,公众客户,64,频繁换机型,苹果,4G,IOS 8.0,2,社会渠道,1195.151506,0,333,142.6,131.7,10,0.9,147.4,否,4G本地行业套餐,集客4G本地行业套餐-36元套餐（京）
06B0CC2B3728501878C18602AF8D4E06,无法区分,,天津,集团-中小企,34,频繁换机型,华为,4G,ANDROID 5.1,1,自有渠道,744.184607,0,97.8,21.5,13.5,8,0,0.3,否,基本套餐,76元基本套餐（含国内语音200分钟，国内流量400MB）
08D09660555255FA1D3250CD8E9290EB,男,20,秦皇岛,公众客户,25,频繁换机型,苹果,4G,IOS 9.0,1,自有渠道,1116.68637,365.057658,110.1,16.3,8.8,2.5,2.5,43.8,否,国内流量套餐,30元500MB国内流量套餐
